Total_Stops,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hours,Duration_mins,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_SpiceJet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Fare
1,3,3,6,10,8,15,26,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13348
0,9,3,10,20,12,55,2,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4384
1,18,5,7,35,19,25,11,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5192
1,27,5,7,30,21,0,13,30,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6526
1,12,6,10,20,17,35,7,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5608
0,15,5,17,45,20,5,2,20,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3543
0,12,5,5,45,7,15,1,30,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2017
1,1,6,11,25,19,0,7,35,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,11200
0,9,3,20,30,23,20,2,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6205
1,21,3,21,25,11,25,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7832
0,27,6,14,25,17,40,3,15,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5000
0,21,5,17,10,19,40,2,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3841
0,24,6,11,0,14,15,3,15,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4256
2,27,3,19,10,19,45,24,35,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10976
2,27,6,23,5,4,25,29,20,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12819
0,1,3,19,35,22,5,2,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5964
0,3,4,11,10,14,5,2,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4544
1,12,6,8,30,19,0,10,30,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,10877
1,18,3,11,40,10,25,22,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11087
1,27,5,8,35,22,30,13,55,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6442
1,12,5,20,0,10,5,14,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13941
1,12,3,5,50,15,0,9,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11297
1,3,6,7,35,16,10,8,35,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7514
1,21,3,22,0,4,25,6,25,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12242
1,15,6,2,15,12,35,10,20,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10262
1,18,5,17,30,19,0,25,30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12373
1,21,5,8,25,19,50,11,25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10844
0,1,3,17,0,19,45,2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25913
1,15,6,10,0,19,15,9,15,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,16108
0,18,6,21,20,22,50,1,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2227
1,21,3,7,5,19,15,12,10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,13378
1,6,6,7,5,16,10,9,5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,9646
1,15,5,9,35,18,0,8,25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13067
1,21,3,8,35,22,20,13,45,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6790
1,12,3,9,45,0,30,14,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11507
1,15,3,14,25,19,25,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9165
1,15,3,22,0,23,20,25,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6850
0,9,4,22,20,0,40,2,20,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3841
0,1,4,6,10,8,55,2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5176
0,24,5,21,10,0,5,2,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3971
0,3,3,15,10,17,45,2,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6985
0,27,5,19,35,21,5,1,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5678
0,3,4,21,5,22,25,1,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2050
1,9,5,14,25,19,35,5,10,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10188
1,9,3,2,15,19,45,17,30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13843
2,15,5,10,0,5,25,19,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14424
1,15,5,18,35,1,30,6,55,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7191
0,24,5,10,20,11,50,1,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4995
1,3,3,5,5,10,5,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9581
0,27,6,17,10,19,40,2,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3873
1,18,3,0,30,8,45,8,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13859
2,24,6,5,30,4,25,22,55,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13014
2,6,5,9,25,5,25,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17732
1,6,3,8,55,15,30,6,35,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,15147
1,27,5,13,0,1,30,12,30,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,13377
0,27,5,19,30,20,45,1,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3100
1,6,5,14,5,19,50,5,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10844
1,27,3,17,30,19,45,26,15,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5406
1,6,3,8,55,21,0,12,5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,15147
0,3,5,7,45,10,40,2,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3898
0,24,4,17,10,19,40,2,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3841
0,12,6,21,5,0,20,3,15,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6015
0,27,4,10,10,13,0,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4423
1,21,5,14,5,10,5,20,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14388
1,27,6,12,50,21,0,8,10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6007
0,24,6,20,20,22,55,2,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4804
1,27,4,20,45,7,10,10,25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6451
1,24,3,16,55,16,20,23,25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14231
1,24,5,15,15,20,5,4,50,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5192
1,9,5,9,0,21,0,12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,13727
2,12,3,6,45,9,25,26,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12515
0,6,5,22,10,1,0,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3419
0,27,3,2,55,4,25,1,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1840
0,3,3,12,0,13,25,1,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5755
2,1,3,5,50,22,10,16,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13576
0,18,5,19,55,22,25,2,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5989
1,15,5,18,15,1,30,7,15,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,13727
0,18,5,17,45,20,45,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7229
3,12,3,16,50,12,25,19,35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14260
0,3,5,5,15,7,40,2,25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3850
0,27,5,14,45,17,5,2,20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3597
2,21,3,8,15,11,20,27,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7642
1,21,3,8,0,21,0,13,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6883
0,21,3,7,10,8,35,1,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4160
1,3,6,7,5,16,10,9,5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,10696
2,27,5,9,35,12,35,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12872
0,3,5,4,0,6,50,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3943
0,9,6,10,10,13,0,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4423
1,15,6,20,45,7,10,10,25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6253
1,27,3,23,5,19,45,20,40,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7438
2,18,3,6,45,16,20,9,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12935
1,1,4,20,0,12,0,16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7064
1,1,4,8,25,19,50,11,25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7064
0,9,3,21,20,0,15,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6144
1,9,6,7,10,20,20,13,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9555
1,1,6,23,30,4,35,5,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10112
0,9,5,5,55,8,35,2,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3573
1,9,5,10,0,1,30,15,30,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,15078
2,27,5,9,40,4,25,18,45,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15129
2,9,3,9,45,9,25,23,40,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10660
1,27,3,2,0,7,45,5,45,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5733
0,24,3,7,55,10,15,2,20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4326
1,1,4,19,35,23,15,3,40,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4226
1,12,6,10,20,19,0,8,40,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,11789
1,27,3,20,50,4,25,7,35,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12242
0,24,6,7,10,10,5,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4823
1,12,6,7,0,19,15,12,15,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8669
0,24,3,21,5,22,25,1,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2575
1,9,3,6,40,21,0,14,20,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12351
2,6,6,5,30,19,0,13,30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13292
0,24,4,4,55,7,45,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3383
0,15,3,22,45,0,10,1,25,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2753
1,15,6,6,0,19,0,13,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,11789
1,9,6,17,0,9,45,16,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14151
1,27,5,19,15,12,35,17,20,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12898
0,6,5,6,20,7,40,1,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3625
0,9,3,23,30,2,20,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4777
2,27,3,5,55,7,40,25,45,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8971
0,15,6,19,35,21,5,1,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5678
0,6,5,13,20,16,10,2,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5228
0,9,4,19,30,22,15,2,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5613
1,9,3,16,0,4,25,12,25,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16289
0,6,5,17,45,20,5,2,20,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3597
0,18,5,9,0,11,25,2,25,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4439
1,21,3,23,0,19,15,20,15,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6745
1,3,6,22,50,4,25,5,35,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10262
0,27,6,6,0,8,45,2,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6478
1,9,6,7,5,16,10,9,5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,9646
0,24,4,20,20,22,55,2,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4804
3,24,6,5,15,19,15,38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10493
0,9,3,8,50,10,15,1,25,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5755
0,27,3,22,20,0,40,2,20,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3847
1,1,5,16,30,23,35,7,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14781
1,21,3,21,0,7,40,10,40,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6902
1,9,3,11,55,22,20,10,25,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6674
1,6,3,16,55,8,15,15,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16736
1,9,5,21,50,19,0,21,10,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12373
0,24,5,11,30,14,5,2,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5224
0,24,6,17,0,19,35,2,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4878
0,27,4,19,50,22,50,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7229
0,15,3,22,20,1,10,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8855
1,9,5,11,30,19,0,7,30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15554
1,12,6,21,10,9,20,12,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13044
1,9,4,9,15,1,30,16,15,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6573
1,24,5,7,10,23,25,16,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9345
1,6,6,8,25,16,20,7,55,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14571
1,15,5,11,15,18,30,7,15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8844
1,12,5,15,55,21,25,5,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8844
1,12,3,7,30,19,55,12,25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,12080
2,24,6,17,50,1,30,7,40,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,18275
2,12,6,12,0,11,10,23,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9416
1,6,6,17,5,22,25,5,20,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6493
2,18,5,5,30,4,25,22,55,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13029
1,6,3,14,10,19,20,5,10,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19495
1,6,5,17,0,23,35,6,35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10703
2,18,5,5,30,19,0,13,30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13029
1,9,5,8,45,19,0,10,15,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,9794
1,27,5,7,0,19,15,12,15,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9929
1,21,3,8,0,20,20,12,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7832
1,3,3,19,0,7,40,12,40,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14777
1,1,6,21,50,12,35,14,45,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14714
1,21,5,14,0,19,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12898
1,12,6,17,0,23,35,6,35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12692
0,6,5,7,55,10,15,2,20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3850
1,24,5,16,30,9,20,16,50,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9663
0,12,4,20,20,22,55,2,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4488
1,12,5,10,20,17,35,7,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7064
1,12,5,20,20,20,20,24,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8610
1,24,6,20,55,19,0,22,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10262
1,18,5,9,45,9,25,23,40,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8372
1,27,3,8,25,21,0,12,35,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8285
1,15,5,17,0,23,25,6,25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9345
0,12,5,1,30,4,15,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3943
1,6,5,19,0,1,30,6,30,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,8073
2,21,5,12,0,7,40,19,40,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9653
0,27,6,12,0,13,30,1,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2754
1,6,6,15,0,19,0,28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14714
0,6,4,22,50,1,20,2,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3807
0,27,6,8,45,10,15,1,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8040
1,6,3,11,50,19,50,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14594
1,9,3,6,40,12,0,5,20,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5647
1,24,5,18,55,4,40,9,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8586
0,6,5,7,5,8,30,1,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4995
1,6,4,14,0,19,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5177
