Unnamed: 0,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
10521,IndiGo,24/06/2019,Kolkata,Banglore,CCU → BLR,22:15,00:50 25 Jun,2h 35m,non-stop,No info,4804
4032,SpiceJet,9/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841
763,SpiceJet,3/06/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,1h 30m,non-stop,No info,2753
8401,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,00:40,03:25,2h 45m,non-stop,No info,6860
2183,Air India,15/03/2019,Banglore,New Delhi,BLR → MAA → DEL,11:50,13:00 16 Mar,25h 10m,1 stop,No info,8032
9460,Air India,24/04/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,5228
1222,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,2071
2676,Air India,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,10:00,23:15,13h 15m,1 stop,No info,11936
2134,Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,10368
2392,IndiGo,3/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No info,6093
3620,Jet Airways,3/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,12:35 04 Jun,27h,2 stops,No info,13292
6480,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:25,1h 30m,non-stop,No info,5678
1575,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 10 May,9h 10m,1 stop,In-flight meal not included,12373
509,Jet Airways,1/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 02 Jun,22h 55m,2 stops,In-flight meal not included,10368
2968,Air India,3/03/2019,Delhi,Cochin,DEL → BLR → COK,06:10,08:15 04 Mar,26h 5m,1 stop,No info,13348
7850,Air Asia,9/03/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No info,4384
1259,Air Asia,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:35,19:25,11h 50m,1 stop,No info,5192
7420,IndiGo,27/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,6526
9666,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,In-flight meal not included,5608
4461,SpiceJet,15/05/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,3543
711,SpiceJet,12/05/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,1h 30m,non-stop,No info,2017
7458,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:00,7h 35m,1 stop,No info,11200
9758,SpiceJet,09/03/2019,Banglore,New Delhi,BLR → DEL,20:30,23:20,2h 50m,non-stop,No info,6205
10638,Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,21:25,11:25 19 Mar,14h,1 stop,In-flight meal not included,7832
9201,IndiGo,27/06/2019,Delhi,Cochin,DEL → COK,14:25,17:40,3h 15m,non-stop,No info,5000
6098,SpiceJet,21/05/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841
1372,Jet Airways,24/06/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,4256
712,Jet Airways,27/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:45 28 Mar,24h 35m,2 stops,No info,10976
3319,Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 29 Jun,29h 20m,2 stops,No info,12819
8343,Air Asia,1/03/2019,Kolkata,Banglore,CCU → BLR,19:35,22:05,2h 30m,non-stop,No info,5964
4480,Jet Airways,3/04/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,4544
9089,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:00,10h 30m,1 stop,No info,10877
8000,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,10:25 16 Mar,22h 45m,1 stop,In-flight meal not included,11087
1482,IndiGo,27/05/2019,Delhi,Cochin,DEL → HYD → COK,08:35,22:30,13h 55m,1 stop,No info,6442
4635,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 13 May,14h 5m,1 stop,No info,13941
5606,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BDQ → DEL,05:50,15:00,9h 10m,1 stop,No info,11297
4374,IndiGo,3/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1 stop,No info,7514
1794,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,22:00,04:25 22 Mar,6h 25m,1 stop,No info,12242
4417,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,In-flight meal not included,10262
1821,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 19 May,25h 30m,1 stop,In-flight meal not included,12373
2638,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,In-flight meal not included,10844
4012,Air India,01/03/2019,Banglore,New Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,25913
2452,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,16108
1741,IndiGo,18/06/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,2227
1658,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:15,12h 10m,1 stop,No info,13378
212,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,9646
4295,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,18:00,8h 25m,1 stop,No info,13067
3964,IndiGo,21/03/2019,Delhi,Cochin,DEL → HYD → COK,08:35,22:20,13h 45m,1 stop,No info,6790
323,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → MAA → DEL,09:45,00:30 13 Mar,14h 45m,1 stop,No info,11507
10066,IndiGo,15/03/2019,Banglore,New Delhi,BLR → AMD → DEL,14:25,19:25,5h,1 stop,No info,9165
1097,Air India,15/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,23:20 16 Mar,25h 20m,1 stop,No info,6850
10076,SpiceJet,9/04/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 10 Apr,2h 20m,non-stop,No check-in baggage included,3841
1359,Air India,1/04/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,5176
334,SpiceJet,24/05/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 25 May,2h 55m,non-stop,No info,3971
7328,IndiGo,3/03/2019,Kolkata,Banglore,CCU → BLR,15:10,17:45,2h 35m,non-stop,No info,6985
1613,Jet Airways,27/05/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678
6692,Air India,3/04/2019,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1h 20m,non-stop,No info,2050
792,GoAir,9/05/2019,Delhi,Cochin,DEL → BOM → COK,14:25,19:35,5h 10m,1 stop,No info,10188
233,Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,19:45,17h 30m,1 stop,In-flight meal not included,13843
10389,Air India,15/05/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,05:25 16 May,19h 25m,2 stops,No info,14424
9654,IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:30 16 May,6h 55m,1 stop,No info,7191
8864,Jet Airways,24/05/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995
4474,IndiGo,3/03/2019,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,5h,1 stop,No info,9581
9800,SpiceJet,27/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,3873
6507,Air India,18/03/2019,Banglore,New Delhi,BLR → AMD → DEL,00:30,08:45,8h 15m,1 stop,No info,13859
5844,Jet Airways,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 25 Jun,22h 55m,2 stops,No info,13014
3614,Air India,6/05/2019,Kolkata,Banglore,CCU → BOM → AMD → BLR,09:25,05:25 07 May,20h,2 stops,No info,17732
6739,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,08:55,15:30,6h 35m,1 stop,No info,15147
8373,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 28 May,12h 30m,1 stop,No info,13377
10297,Air India,27/05/2019,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1h 15m,non-stop,No info,3100
8731,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,In-flight meal not included,10844
9156,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:45 28 Mar,26h 15m,1 stop,In-flight meal not included,5406
871,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,08:55,21:00,12h 5m,1 stop,No info,15147
1263,GoAir,3/05/2019,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,3898
1618,SpiceJet,24/04/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841
5438,IndiGo,12/06/2019,Delhi,Cochin,DEL → COK,21:05,00:20 13 Jun,3h 15m,non-stop,No info,6015
5566,IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,4423
5323,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,10:05 22 May,20h,1 stop,No info,14388
5398,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,In-flight meal not included,6007
2615,IndiGo,24/06/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4804
1220,Air Asia,27/04/2019,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 28 Apr,10h 25m,1 stop,No info,6451
2287,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,16:55,16:20 25 Mar,23h 25m,1 stop,No info,14231
1765,IndiGo,24/05/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:05,4h 50m,1 stop,No info,5192
7708,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13727
8248,Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → BHO → DEL,06:45,09:25 13 Mar,26h 40m,2 stops,No info,12515
7073,IndiGo,6/05/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 07 May,2h 50m,non-stop,No info,3419
1513,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:25,1h 30m,non-stop,In-flight meal not included,1840
3647,IndiGo,3/03/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:25,1h 25m,non-stop,No info,5755
3787,Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → GAU → DEL,05:50,22:10,16h 20m,2 stops,No info,13576
8657,Air Asia,18/05/2019,Kolkata,Banglore,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,5989
3169,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,18:15,01:30 16 May,7h 15m,1 stop,No info,13727
8217,Jet Airways,18/05/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,No info,7229
3945,Air India,12/03/2019,Mumbai,Hyderabad,BOM → BLR → CCU → BBI → HYD,16:50,12:25 13 Mar,19h 35m,3 stops,No info,14260
2818,IndiGo,3/05/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3850
2684,IndiGo,27/05/2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No info,3597
9198,Air India,21/03/2019,Banglore,New Delhi,BLR → HYD → VGA → DEL,08:15,11:20 19 Mar,27h 5m,2 stops,No info,7642
2110,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,6883
8131,Jet Airways,21/03/2019,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1h 25m,non-stop,In-flight meal not included,4160
10179,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,10696
7352,Jet Airways,27/05/2019,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,12:35 28 May,27h,2 stops,In-flight meal not included,12872
2412,IndiGo,3/05/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943
6153,IndiGo,9/06/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,4423
5023,Air Asia,15/06/2019,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 16 Jun,10h 25m,1 stop,No info,6253
617,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,23:05,19:45 28 Mar,20h 40m,1 stop,In-flight meal not included,7438
8889,Air India,18/03/2019,Banglore,New Delhi,BLR → BOM → JDH → DEL,06:45,16:20,9h 35m,2 stops,No info,12935
6984,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 02 Apr,16h,1 stop,In-flight meal not included,7064
7268,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,In-flight meal not included,7064
745,IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,21:20,00:15 10 Mar,2h 55m,non-stop,No info,6144
3617,Vistara,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,20:20,13h 10m,1 stop,No info,9555
3082,IndiGo,1/06/2019,Delhi,Cochin,DEL → PNQ → COK,23:30,04:35 02 Jun,5h 5m,1 stop,No info,10112
5899,SpiceJet,9/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3573
3859,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 10 May,15h 30m,1 stop,No info,15078
9473,Jet Airways,27/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 28 May,18h 45m,2 stops,No info,15129
1336,Air India,9/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,09:45,09:25 10 Mar,23h 40m,2 stops,No info,10660
4852,IndiGo,27/03/2019,Delhi,Cochin,DEL → BLR → COK,02:00,07:45,5h 45m,1 stop,No info,5733
7748,IndiGo,24/03/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,non-stop,No info,4326
10014,IndiGo,1/04/2019,Kolkata,Banglore,CCU → BBI → BLR,19:35,23:15,3h 40m,1 stop,No info,4226
3470,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:00,8h 40m,1 stop,No info,11789
8365,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,20:50,04:25 28 Mar,7h 35m,1 stop,No info,12242
5563,IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823
6306,Air India,12/06/2019,Delhi,Cochin,DEL → BOM → COK,07:00,19:15,12h 15m,1 stop,No info,8669
1313,Air India,24/03/2019,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1h 20m,non-stop,No info,2575
3130,IndiGo,9/03/2019,Delhi,Cochin,DEL → BOM → COK,06:40,21:00,14h 20m,1 stop,No info,12351
6442,Jet Airways,6/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:30,19:00,13h 30m,2 stops,No info,13292
6521,Air Asia,24/04/2019,Banglore,Delhi,BLR → DEL,04:55,07:45,2h 50m,non-stop,No info,3383
7931,SpiceJet,15/03/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:10 16 Mar,1h 25m,non-stop,No info,2753
6825,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,06:00,19:00,13h,1 stop,No info,11789
9157,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:45 10 Jun,16h 45m,1 stop,No info,14151
653,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,19:15,12:35 28 May,17h 20m,1 stop,In-flight meal not included,12898
8656,Air India,6/05/2019,Mumbai,Hyderabad,BOM → HYD,06:20,07:40,1h 20m,non-stop,No info,3625
8118,IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,23:30,02:20 13 Mar,2h 50m,non-stop,No info,4777
6199,Air India,27/03/2019,Delhi,Cochin,DEL → NAG → BOM → COK,05:55,07:40 28 Mar,25h 45m,2 stops,No info,8971
8398,Jet Airways,15/06/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678
5459,Air India,6/05/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,5228
6934,Vistara,9/04/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,5613
4762,Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,04:25 10 Mar,12h 25m,1 stop,No info,16289
9799,SpiceJet,6/05/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,3597
6013,SpiceJet,18/05/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,4439
611,Air India,21/03/2019,Delhi,Cochin,DEL → BOM → COK,23:00,19:15 22 Mar,20h 15m,1 stop,No info,6745
2375,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 04 Jun,5h 35m,1 stop,In-flight meal not included,10262
2114,Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,6478
4209,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,9646
8624,IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4804
8729,Air India,24/06/2019,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,05:15,19:15 25 Jun,38h,3 stops,No info,10493
511,SpiceJet,9/03/2019,Mumbai,Hyderabad,BOM → HYD,08:50,10:15,1h 25m,non-stop,No info,5755
10485,SpiceJet,27/03/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 28 Mar,2h 20m,non-stop,No info,3847
9464,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,23:35,7h 5m,1 stop,No info,14781
6953,Air India,21/03/2019,Delhi,Cochin,DEL → BOM → COK,21:00,07:40 22 Mar,10h 40m,1 stop,No info,6902
8690,IndiGo,9/03/2019,Delhi,Cochin,DEL → HYD → COK,11:55,22:20,10h 25m,1 stop,No info,6674
9668,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,08:15 07 Mar,15h 20m,1 stop,No info,16736
10040,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 10 May,21h 10m,1 stop,In-flight meal not included,12373
6826,IndiGo,24/05/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,5224
6836,Vistara,24/06/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,4878
9968,Jet Airways,27/04/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,7229
5521,IndiGo,15/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 16 Mar,2h 50m,non-stop,No info,8855
4901,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,7h 30m,1 stop,No info,15554
8751,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 13 Jun,12h 10m,1 stop,No info,13044
2769,IndiGo,9/04/2019,Delhi,Cochin,DEL → BOM → COK,09:15,01:30 10 Apr,16h 15m,1 stop,No info,6573
4782,Vistara,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,23:25,16h 15m,1 stop,No info,9345
7820,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,No info,14571
10585,SpiceJet,15/05/2019,Kolkata,Banglore,CCU → IXB → BLR,11:15,18:30,7h 15m,1 stop,No info,8844
4454,SpiceJet,12/05/2019,Kolkata,Banglore,CCU → IXB → BLR,15:55,21:25,5h 30m,1 stop,No info,8844
9511,Vistara,12/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,07:30,19:55,12h 25m,1 stop,No info,12080
1109,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → IXU → BOM → COK,17:50,01:30 25 Jun,7h 40m,2 stops,No info,18275
7607,Air India,12/06/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10 13 Jun,23h 10m,2 stops,No info,9416
5828,IndiGo,6/06/2019,Delhi,Cochin,DEL → BLR → COK,17:05,22:25,5h 20m,1 stop,No info,6493
1038,Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 19 May,22h 55m,2 stops,In-flight meal not included,13029
20,GoAir,6/03/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No info,19495
4367,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:35,6h 35m,1 stop,In-flight meal not included,10703
2816,Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,13029
5768,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,9794
